school,avgscrwrite,phone
Buena Vista Elementary,,
Fiesta Gardens International Elementary,,(650) 312-7737
Knolls Elementary,,
Lakeshore Elementary,,
Peninsular Avenue Elem (Defunc,,
Turnbull Learning Academy,,
Brewer Island Elementary,,(650) 312-7532
San Mateo-Foster City Community Day,,
Peninsula High,,(650) 558-2499
Design Tech High,,(650) 714-2631
San Mateo Union High Community Day,,
Crestmoor High,,
Summit Preparatory Charter High,522.0,(650) 556-1110
Aspire East Palo Alto Phoenix Academy,,
Everest Public High,538.0,(650) 366-1050
Sequoia Community Day,,
East Palo Alto Academy,403.0,(650) 893-8900
Sequoia Union High Independent Study,,
Sequoia District Community Day,,
Menlo Atherton Adult Evening H,,
Ravenswood High,,
San Carlos High,,
Community Day,,(650) 616-3882
Hillside Elementary,,(650) 877-8720
Avalon Elementary,,
El Rancho Elementary,,
Foxridge Elementary,,
Serra Vista Elementary,,
Southwood Junior High,,
High Tech High Bayshore,,
Summit High,,
"Summit High School, II",,
Phoenix High II,,
Phoenix High School,,
Camino Segundo,,
Casa Floral,,
Villa Esperanza,,
El Puente - South (Community School),,
El Puente - North (Community School),,
Los Robles High,,
La Posada Juvenile Hall,,
Los Robles High,,
La Morada,,
Calvary Church Child Care Cent,,
Casa Floral,,
Development Center for the Han,,
Development Center for the Han,,
Guadalupe Child Development Ce,,
Child Care Centers,,
Los Alamos Child Care Center,,
Juvenile Court School-La Posad,,
Juvenile Court School-Santa Maria,,
Brandon Special Ed. Center (Sh,,
Hollister Special Ed. Center,,
Center for Therapeutic Ed. (Se,,
La Colina Special Education Ce,,
Center for Therapeutic Ed. (Se,,
Maple Special Ed. Center (Sh),,
Family Partnership Home Study Charter,,(805) 348-3333
Trivium Charter,,(805) 291-1303
Visions Academy Charter,,
Sanchez (David J.) Elementary,,(805) 361-4625
Kunst (Tommie) Junior High,,(805) 361-5800
Liberty Elementary,,(805) 361-4530
"Jiménez, Roberto and Dr. Francisco Elementary School",,(805) 361-8112
Santa Maria-Bonita Alternative Education,,
Taylor (Ida Redmond) Elementary,,(805) 361-6250
Arellanes Junior High,,(805) 361-6820
Oak Valley Elementary,,(805) 688-6992
Carpinteria Family,,(805) 684-5481
Foothill Alternative High,,(805) 684-3277
Rincon High School,,
Rincon High (Continuation),,(805) 684-3277
Early Childhood Learning Cente,,
San Marcos Elementary,,
Santa Ynez Valley Charter,,(805) 686-7360
Cuyama Elementary,,
Learning Tree Preschool,,(805) 681-1200
Goleta Adult Education Center,,
Cathedral Oaks Elementary,,
El Camino Elementary,,(805) 692-5574
Fairview Elementary,,
Goleta Elementary,,
Goleta Preschool,,
Hope Elementary,,(805) 563-2974
Mission Valley,,(805) 742-2300
Manzanita Public Charter,,(805) 734-5600
Camino Real Community Partnership Academy,,
Dr Bob Forinash Community Day,,(805) 742-3135
El Camino Elementary,,
La Mesa Elementary,,
Vandenberg Elem.,,
Westwings Elementary,,
Learning Handicapped-Severely,,
Martha Negus Orthopedic Center,,
Learning Handicapped-Communica,,
El Camino Middle,,
Los Olivos Charter School,,
Orcutt Academy Charter,492.0,(805) 938-8900
Home School Santa Barbara Elementary,,
McKinley Special Education Cen,,
Jefferson Elem.,,
Lincoln Elementary,,
Parma Special Education,,
Wilson Elementary,,
Alpha School & Workshop (T.M.R,,
Santa Barbara Preschool,,
Devereux Severely Handicapped,,
Special Education,,
Franklin Intermediate,,
Santa Barbara Preschool,,
Home School Santa Barbara Secondary,,
Young Mothers Program,,
Young Adolescent Continuation,,
Santa Barbara Continuation High,,
McKinley Special Education,,
Santa Barbara Alternative Educ.,,
Community Day,,
Adam (William Laird) Elementar,,
Alvin Elementary,,
Arellanes (Don Juan Bautista),,
R. D. Cook Elementary,,
El Camino Elementary,,
Fairlawn Elementary,,
Fesler (Isaac) Elementary,,
Tunnell (Martin Luther) Elemen,,
Miller (Isaac) Elementary,,
Oakley (Calvin C.) Elementary,,
Rice (William) Elementary,,
Bruce (Robert) Elementary,,
Battles (George Washington) Elementary,,
Santa Maria State Preschool,,
Pioneer Valley High,451.0,(805) 922-1305
Mark Twain Academies,,
Cuyama Valley High,,
Santa Ynez Valley Academy,,
California STEAM Santa Barbara,,(310) 527-1741
Sierra Madre High (Continuation),,(661) 766-2293
Alta Vista Alternative High,558.0,(805) 965-1916
Alta Vista Alternative Junior High,,(805) 966-0883
Santa Barbara Unified Early Childhood,,(805) 963-8685
Santa Barbara Charter,,(805) 967-6522
Santa Barbara Charter Middle,,
Santa Barbara Community Academy,,(805) 687-2081
Adelante Charter,,(805) 966-7392
Olive Grove Charter,,(805) 623-1111
EDGE,,
Leadership Public Schools - San Jose,381.0,
Bullis Charter,,(650) 947-4939
Pathfinder High,,
Advent Community Day,,
Leadership Public Schools - Campbell,,
Discovery Charter,,(408) 243-9800
University Preparatory Academy Charter,537.0,(408) 723-1839
Rocketship Mateo Sheedy Elementary,,(408) 286-3330
ACE Empower Academy,,(408) 729-3920
South Bay Preparatory,,
Rocketship Si Se Puede Academy,,(408) 824-5180
Magnolia Science Academy Santa Clara,,
Rocketship Los Suenos Academy,,(408) 684-4028
Silicon Valley Flex Academy,,
Downtown College Prep - Alum Rock,,(408) 271-1730
Rocketship Discovery Prep,,(408) 217-8951
Summit Public School: Tahoma,483.0,(408) 729-1981
Sunrise Middle,,(408) 659-4785
Communitas Charter High,,
Rocketship Academy Brilliant Minds,,(408) 708-4664
Rocketship Alma Academy,,(408) 931-6838
Rocketship Eight Elementary,,
Rocketship Nine Elementary,,
Discovery Charter II,,(408) 243-9800
Summit Public School: Denali,,(669) 600-5695
Alpha: Jose Hernandez Middle,,(408) 780-0831
Rocketship 9 at Jackson,,
Rocketship Fuerza Community Prep,,(408) 708-5744
Voices College-Bound Language Academy at Morgan Hill,,(408) 791-1700
Spark Charter,,(408) 306-5872
Voices College-Bound Language Academy at Mt. Pleasant,,(408) 571-6404
Rocketship Rising Stars,,(301) 789-5469
C. W. Washintgon,,
Bohnett Community School,,
Sherman Oaks Community,,
Berryessa Community,,
Cambrian Community School,,
San Jose Community School,,
Central Independent Studies,,
Alternative/Opportunity,,
Foundry Community Day,,
Teenage Parent Program,,
Leigh/Independence Deaf,,
Chandler Tripp,,
Development Center (S.H.M.),,
"McKinnon (Joseph H.) (TMR, Aut",,
Blue Ridge High School,,
Holden (Harold) Ranch,,
Muriel Wright Residential Center,,
Osborne Juvenile Center,,
Experimental Preschool Deaf,,
Sam P. Della Maggiore Center,,
Day Care Center,,
Foundry School,,
Martin J. Spangler,,
East Valley,,
Gateway Center,,
Fremont Older School,,
Metzler/Communication Disorder,,
El Quite School (MH),,
Eastfield Children's Center,,
Santa Clara County Children's,,
Operation Ser,,
Adolescent Rehabilitation Cent,,
Experimental Preschool Deaf (I,,
Adolescent Day Treatment Center,,
Rouleau Center,,
Program for Autistic Minors,,
"C.A.P.I. Unit,San Jose Hospital",,
Grant Ranch,,
Bret Harte Community,,
Leland Day Center,,
South County Community,,
Hoover Day Center,,
Lincoln Community,,
Madrone Day Center,,
North County Community,,
Foothill,,
Burnett (MH),,
Devoss Center,,
Vineland (Sld/Aphasia),,
Congress Springs (Sld/Aphasia),,
Fremont Union High School Dist,,
Timpany Center,,
Burdette (OH) (Sesr V),,
Cadwallader,,
Cherry Chase,,
Dickenson,,
I.O.O.F. Children's Home,,
Fred Marten,,
Thomas P. Ryan,,
Della Maggiore Center,,
KIPP Heartwood Academy,,(408) 926-5477
Learning in an Urban Community with High Achievement (L.U.C.H.A.),,(408) 928-8300
Renaissance Academy,,(408) 928-1950
Adelante Dual Language Academy,,(408) 928-1900
Russo/McEntee Academy,,(408) 928-8900
James McEntee Academy,,
Alpha: Blanca Alvarado Middle,,(408) 780-0831
Renaissance at Mathson,,(408) 928-6800
ACE Alum Rock,,
Kipp Prize Preparatory Academy,,(408) 785-0657
Mt. Hamilton Elementary,,
Richard E. Conniff Elementary,,
Coniff Preschool,,
Berryessa Elementary,,
Birchwood Elementary,,
Berryessa Union Elementary,,(408) 923-1830
Steindorf STEAM K-8 Magnet,,(408) 377-3022
Bohnett Elementary,,
Cambrian Elementary,,
Houge Intermediate,,
Metzler Elementary,,
Steindorf Elementary,,
Cambrian Community,,
Village,,(408) 341-7042
Community Day,,
Cypress Elementary,,
Dover Elementary,,
Hamilton Elementary,,
Moorpark Elementary,,
Parkway Elementary,,
Quito Elementary,,
San Tomas Elementary,,
Sherman Oaks Elementary,,(408) 795-1140
Campbell Adult and Community Education,,(408) 626-3402
Camden Community Day,,(408) 626-3409
Branham High,540.0,(408) 626-3407
Camden High,,
Campbell High,,
Leigh High,,
Williams High,,
Sam H. Lawson Middle,,(408) 255-7500
Wilson Elementary,,
C. B. Eaton Elementary,,(408) 255-2848
Calabazas Creek Elementary,,
Murdock Elementary,,
Luther Elementary,,
Doyle Elementary,,
Warren Elementary,,
Older Elementary,,
Grant Elementary,,
Hoover Elementary,,
Inverness Elementary,,
Jollyman Elementary,,
Stichter Elementary,,
Monta Vista Elementary,,
Allan,,
Stocklmeir-Ortega Intermediate,,
Panama Elementary,,
Murdock-Portal Elementary,,(408) 973-8191
San Antonio Elementary,,
Serra Elementary,,
Wilson Special Education,,
Muir Ok School,,
Portal Instructional Center,,
"Escuela Popular/Center for Training and Careers, Family Learning",,(408) 275-7191
California Youth Outreach Academy,,
KIPP San Jose Collegiate,482.0,(408) 937-3752
Summit Public School: Rainier,493.0,(408) 831-3104
Calero High,,(408) 347-7600
ACE Charter High,,(408) 251-1362
Luis Valdez Leadership Academy,,(408) 479-0253
B. Roberto Cruz Leadership Academy,,(408) 729-2281
Alpha Cindy Avitia High,,(646) 463-3187
East Side High Independent Study,,
Eagle View High (Continuation),,
Apollo High,,(408) 928-5400
Warrior Academy High (Cont.),,
Overfelt Adult,,(408) 254-8100
Alternative Placement Academy Community Day,,
MACSA Academica Calmecac,,
Latino College Preparatory Academy,380.0,(408) 729-2281
San Jose Conservation Corps Charter,,(408) 459-6404
Evergreen Valley High,565.0,(408) 347-7000
Escuela Popular Accelerated Family Learning,,(408) 275-7190
Carolyn A. Clark Elementary,,(408) 223-4560
Silver Oak Elementary,,(408) 223-4515
Tom Matsumoto Elementary,,(408) 223-4873
James Franklin Smith Elementary,,(408) 532-2150
Ramblewood Elementary,,(408) 283-6275
Success Academy,,
Voices College-Bound Language Academy,,(408) 361-1960
Cornerstone Academy Preparatory,,(408) 361-3829
Rocketship Mosaic Elementary,,(877) 806-0920
College Connection Academy,,(408) 347-4827
Rocketship Spark Academy,,(408) 899-2607
KIPP Heritage Academy,,(408) 655-6364
ACE Franklin McKinley,,(408) 729-3420
"Shirakawa (George, Sr.) Elementary",,(408) 283-6086
Fremont Union Alternative,,
Fremont Union Alternative Education,,
Community Day,,(408) 522-2233
Blaney High,,
Sunnyvale High,,
Solorsano Middle,,(408) 848-4121
Dr. TJ Owens Gilroy Early College Academy,552.0,(408) 846-4909
Christopher High,484.0,(408) 848-7171
Gilroy Prep (a Navigator School),,(408) 337-5445
Gilroy Special Ed Preschool,,(408) 847-2700
Gilroy Community Day,,
MACSA El Portal Leadership Academy,,
Luigi Aprea Elementary,,(408) 842-3135
South Valley Middle,,(408) 847-3377
Brownell Middle,,(408) 847-3377
Antonio Del Buono Elementary,,(408) 848-5161
LASD Preschool,,(650) 947-1150
Carmel Elementary Defunct,,
Eastbrook Elementary,,
Hillview Elementary,,
Portola Elementary,,
Purissima Elementary,,
Los Gatos-Saratoga Alternative,,
Ralph O. Berry Elementary,,
Ming Quong Elementary,,
Los Gatos - Saratoga Alternative Educ.,,
Mark Twain High (Cont.),,
Latimer Elementary,,(408) 874-3600
Amber Drive Elementary,,
Brookview Elementary,,
Bucknall Elementary,,
Coventry School,,
El Quito Park Elem.,,
Moreland Discovery (Elem),,
Moreland Elementary,,
Strawberry Park Elementary,,
Moreland Community Day,,
Advent Academy,,
MHUSD Community Day School,,
Ann Sobrato High,515.0,(408) 201-6200
Kleine Schule,,
Machado Elementary,,
Morgan Hill Elementary,,
Gwinn (Raymond) Elementary,,
Barrett Elementary,,(408) 201-6340
Charter School of Morgan Hill,,(408) 463-0618
Independent Study Program,,(650) 567-9757
Slater Special Education Preschool,,(650) 526-3530
MVWSD Home & Hospital,,(650) 526-3500
Gabriela Mistral Elementary,,(650) 526-3575
Frank L. Huff Elementary,,(650) 526-3490
O. J. Cooper Elementary,,
Klein (Victorine) Elementary,,
Stevenson Elementary,,(650) 903-6950
Mountain View Whisman Community Day,,
Mountain View-Los Altos Community Day School,,
Awalt (Chester F.) High,,
Moffett High (Alter.),,
Silicon Valley Essential High,,
Ida Jew Academies,,(408) 223-3750
Marten (Fred) Elementary,,
Dickinson (Maude) Elementary,,
Oak Grove Elem.,,
Calero Elementary,,
Ledesma (Rita) Elementary,,(408) 224-2191
The Academy,,(408) 226-2350
Palo Alto Continuation High,,
Mayfield Continuation,,
Cubberly Adult School,,
Cubberley (Ellwood P.) High,,
Palo Alto Adult Mdt Center,,
Crescent Park Elementary,,
De Anza Elementary,,
Fremont Hills Elementary,,
Garland Elementary,,
Greendell,,(650) 856-0833
Hoover (Herbert) Elementary,,
Ohlone Elementary,,
Ortega Elementary,,
Ross Road Elem.,,
Stanford Elementary,,
Ventura Elementary,,
Terman (Lewis M.) Middle,,
Briones (Juana) Elementary-Ort,,
Jackson (Ruth Montgomery) Hear,,
Barron Park Elementary,,(650) 858-0508
Terman Middle,,
Terman Middle,,(650) 856-9810
Greendell State Preschool,,
San Jose Evening Junior Colleg,,
Lincoln Plus High,,
Downtown College Preparatory Middle,,(408) 271-8120
ACE Inspire Academy,,(408) 295-6008
San Jose Unified Alternative Education,,
Community Career Academy (Continuation),,(408) 947-2852
Gunderson Plus (Continuation),,
Willow Glen Plus (Continuation),,
Pioneer Plus (Continuation),,
Leland Plus (Continuation),,
San Jose High Academy Plus,,
Liberty High (Alternative),,(408) 535-6327
Crossroads Community Day,,
Downtown College Preparatory,,(408) 271-8120
Middle College High,,(408) 298-2181
San Jose Community High,,
Campbell Evening High School,,
San Jose Mdta Center,,
Walter L. Bachrodt High,,
San Jose Evening High,,
San Jose Regional Vocational C,,
San Jose Vocational Center,,
Wilson-Woodrow-Evening High Sc,,
Bascom Elem.,,
Belden Elem.,,
Broadway Elementary,,
Canoas Elementary,,(408) 535-6391
College Park Elem.,,
Hacienda Science/Environmental,,
Hammer Montessori at Galarza Elementary,,(408) 535-6671
Henderson Elementary,,
Jefferson Elem.,,
Kirk Elementary,,
Lincoln Glen Elementary,,
Longfellow Elem.,,
Williams Elementary,,(408) 535-6196
Roosevelt Jr. High,,
Wilson Jr. High,,
Multi-Handicapped Center,,
Young Mothers Program,,
Belden Elementary,,
Ohlone Hills Elementary,,
Boys & Girls Community Day,,
Community Day At Hester,,
Tamien Elementary,,
Ernesto Galarza Elementary,,(408) 535-6671
San Jose Community Middle,,
Don Callejon,,(408) 423-3300
Downtown College Prep Alviso,,
Santa Clara Community Day,,(408) 423-2000
Central Park Elementary,,(408) 423-2126
Wilson Education Center,,
Mission Valley Continuation High,,
Buchser (Emil R.) High,,
Peterson (Marian A.) High,,
Santa Clara High,,
Agnew Elementary,,
Bennett Elementary,,
Braly Elementary,,(408) 423-1000
Brown Elementary,,
Juan Cabrillo Middle,,(408) 423-3700
Curtis Intermediate,,
Jefferson Intermediate,,
Mariposa Elementary,,
Montgomery Elementary,,
Monticello Elementary,,
Nadine Bollinger McCoy Element,,
Patrick Henry Intermediate,,
Raynor Elementary,,
Wilson (William A.) Intermedia,,
Congress Springs Elementary,,
Adair Elementary,,
Bayside Elementary,,
Benner Intermediate,,
Vargas Elementary,,(408) 522-8267
Deanza Elementary,,
Fair Oaks Elementary,,
Fairwood Elementary,,(408) 523-4870
Hollenbeck Elementary,,
Columbia Middle,,(408) 522-8247
Morse Elementary,,
Pippin Elementary,,
San Miguel Elementary,,(408) 522-8279
Sunnyvale Structured,,
Adair Community Day,,
Athenour Early Childhood Education Center,,(408) 780-0690
Cinnabar Elementary,,
De Voss Elementary,,
Howes Elementary,,
Mirassou Elementary,,
Parker Elementary,,
Ross Elementary,,
Vineland Elementary,,
Crittenden Middle,,
Powell Elementary,,
San Ramon Elementary,,
Stevenson Magnet,,
Children's Center,,
Whisman Child Development Cent,,
Milpitas Community Day,,
Connexions Academy,,
Milpitas Independent Study,,
Ayer (Samuel) High,,
Milpitas Adult,,(408) 635-2692
Milpitas Community Day,,
Air Point Elementary,,
Gertrude Abel Elementary,,
Murphy (Martin) Elementary,,
Opportunity High,,
Milpitas Adult Education,,
North County Regional Occupational Program,,(408) 522-2200
Wei Yu International Charter,,(408) 256-3664
Santa Cruz Community,,
Juvenile Hall School,,
San Lorenzo Valley Community,,
Skills Center,,
Pioneer Community,,
Pacific Collegiate Charter,630.0,(831) 479-7785
Richard D. Struck Communicatio,,
Calabasas Special Education,,
Capitola/Seriously Emotionally,,
Manresa Center: Diagnostic Cou,,
Duncan Holbert School,,
Probation Center,,
Skills Center/TMR/Secondary,,
Special Training Farm TMR,,
Early Development Program,,
Manresa Family Counseling,,
Sunshine School,,
Aphasic Classes,,
Aphasic/Brook Knoll,,
Terry Brickley Center for Seve,,
H. A. Hyde Communication Cente,,
Santa Cruz Gardens Sed,,
Live Oak Deaf/Hearing Impaired,,
Rolling Hills Jh/Aphasic,,
"Robert H. Ludlow, Jr., Center",,
Santa Cruz Community,,
Highland  Community School,,
De Witt Anderson Courts-Related,,
Pioneer Street Community Schoo,,
Sunshine Community School,,
North County Special Education,,
Watsonville Community,,
Richard D. Struck Communicatio,,
Messiah Lutheran Church,,
Boys' Club Sld/Off Campus,,
Ben Lomond Youth Conservation Camp,,
Ben Lomond Youth Conservation Camp,,
Cypress Charter High,506.0,(831) 477-0302
Tierra Pacifica Charter,,(831) 462-9404
Special Education Preschool,,(831) 475-6333
Del Mar Middle,,
Shoreline Middle,,(831) 475-6565
Del Mar Elementary,,(831) 477-2063
Ocean Alternative Education Center,,(831) 475-0767
Radcliff Elementary,,(831) 728-6469
Landmark Elementary,,(831) 761-7940
Pajaro Valley High,430.0,(831) 728-8102
Cesar E. Chavez Middle,,(831) 761-7699
Solano Summit Academy,,
Ceiba College Preparatory Academy,,(831) 728-6208
Watsonville Adult Center,,
New School Community Day,,(831) 761-6140
Pacific Coast Charter,,(831) 761-6021
EAGLE Independent Study,,
Diamond Technology Institute,,(831) 728-6225
Freedom Continuation Defunct,,
Aromas Elementary,,
Linscott Charter,,(831) 728-6301
Pajaro Valley Unified Altern. Educ.,,
Lakeview Middle,,(831) 728-6455
Rising Star,,
Ann Soldo Elementary,,(831) 786-1310
Watsonville Charter School of the Arts,,(831) 728-8123
Sunrise Community Middle,,
Ocean Grove Charter,554.0,(530) 295-3566
Ludlow Preschool,,(831) 335-2447
SLVUSD Home and Hospital,,(831) 336-9678
San Lorenzo Valley Adult,,
White Oak Continuation High,,
San Lorenzo Valley Alternative Education,,
San Lorenzo Adult,,
SLVUSD Charter,,(831) 335-0932
River View High,,
San Lorenzo Valley Preschool,,
"Central Coast Virtual Charter School, Inc.",,
Laurel Elementary,,
Bilingual/Multicultural Altern,,
Sequoia Academy,,
Tam (Teenage Mothers),,
Delta Charter,,(831) 477-5212
Alternative Family Education,,(831) 429-3898
Sojourn Middle Charter,,
Brook Knoll Elementary,,
Scotts Valley Middle,,
Vine Hill Elementary,,
Opal Cliffs,,(831) 464-5632
Main Street Elementary,,(831) 464-5650
McDowell Learning Center,,
Scotts Valley High,547.0,(831) 439-9555
Chrysalis Charter,,(530) 547-9726
Shasta Trades Academy,,
Phoenix Program,,
Academy of Personalized Learning,,
Magnolia Independent Learning Center,,
Shasta Independent Learning Center,,
Shasta County Independent Study Charter,,(530) 225-0360
Redding STEM Academy,,(530) 275-5480
Shasta County Juvenile Court,,(530) 225-0360
Juvenile Hall/Community,,
Berglund Hearing Impaired,,
Monte Vista TMR,,
Buckeye Special Education Center,,
Shasta County Superintendent O,,
Community School,,
Whiskeytown Environmental Sch.,,
Shasta County Community,,
Green Pastures,,
Mary Street School,,
Live Oak Special Education Cen,,
Remi Vista School,,
Community School,,
Junction Special School,,
Burney Community,,
Live Oak,,
Anderson Community Day Transition,,
Anderson Community Day,,(530) 365-6054
Anderson New Technology High,,(530) 365-3100
Bass Elementary,,
Bella Vista Elementary Community Day,,
Black Butte Junior High,,(530) 474-3441
East Valley Community Day K-6 Elementary,,
East Valley Community Day 6-8 Middle,,
Buckeye Elementary,,
Buckeye Junior High,,
Canyon Elementary,,
South County Community Day,,
Acorns to Oaks,,
Green Valley School of Academics,,
Cascade Community Day,,
Cascade Community Day,,(530) 378-7056
Columbia-East Valley K-6 Community Day,,(530) 221-5224
Redding School of the Arts,,(530) 247-6933
Mountain View Middle,,(530) 221-5224
Columbia-East Valley 6-8 Community Day,,
Cottonwood Community Day,,
North Cottonwood,,(530) 347-1698
Cottonwood Creek Charter,,(530) 347-7200
Cottonwood Preschool,,(530) 347-3165
Shasta Virtual Academy,,
Redding Collegiate Academy,,(530) 224-4240
Boulder Creek Elementary,,(530) 224-4140
Chrysalis Charter,,
PACE Academy,,(530) 224-4236
Fall River Jt. Unified Alter. Ed.,,
Fall River Adult Education,,
Fall River Community Day,,(530) 336-7159
Burney Community Day,,(530) 335-5189
Hat Creek Elementary Defunct,,
McArthur Elementary,,
Mt. Burney Special Education Center,,(530) 335-3852
Burney Elementary Community Day,,(530) 335-5189
Fall River Elementary Community Day,,(530) 336-5551
Happy Valley Community Day,,(530) 357-2111
Happy Valley Community Day (Elem),,
Ono Elementary,,
Pacheco Community Day,,
Pathway.com Charter,,
Wonder to Wisdom Charter Academy,,
Stellar Secondary Charter High,,(530) 245-7730
Live Oak Elementary,,
Magnolia Elementary,,
Alternative/Intervention Schoo,,
Stellar Charter,,(530) 245-7730
Redding Community Day,,(530) 225-0160
Monarch Learning Center,,(530) 247-7307
Acorn to Oaks Charter,,
Evergreen Charter,,
University Preparatory,551.0,(530) 245-2790
Shasta Plus,,(530) 245-2716
Foothill Plus,,(530) 245-2715
Enterprise Plus,,(530) 245-2714
Shasta Union High Alternative Education,,
Shasta Adult Education,,(530) 245-2626
Pioneer Continuation High,,
Continuation #2,,
Pioneer Continuation High,,(530) 243-1880
Freedom High,,(530) 243-1880
Art's Charter,,
Shasta Charter Academy,,(530) 245-2600
Shasta Learning Center Opportunity,,
North State Independence High,,(530) 245-2760
Central Valley High,,
Nova High,,
Redding School of the Arts,,
Fall River Evening High,,
Redding Adult Education,,
Central Valley Intermediate,,
Deer Creek Elementary,,
Project City Elementary,,
Toyon Elementary,,
Northern Summit Academy,,(530) 949-0154
New Day Academy - Shasta,,(530) 233-3861
Shasta Lake,,(530) 275-7020
Rocky Point Charter,,(530) 225-0456
Redding School of the Arts II,,
Great Partnership Special Education Consortium,,(530) 225-0411
Academy of Personalized Learning,,(530) 222-9280
Mountain Lakes High,,(530) 275-7000
Gateway Educational Options,,(530) 245-7960
Gateway Adult Education,,
Gateway Community Day,,(530) 275-7000
Lubeles Academy,,
North Woods Discovery,,
Cornerstone Charter,,
Shasta Lake Middle,,
Sierra County Opportunity,,
Sierra Summit Academy (Charter),,
Sierra Pass (Continuation),,(530) 993-1660
Sierra Community Day-West,,
Sierra Community Day-East,,
William R. Rouse ROP,,(530) 944-3398
Golden Eagle Charter,,(530) 926-5800
J. Everett Barr School,,
Siskiyou County Special Ed. Sc,,
North County Special Ed. Presc,,
"North County Development Center  (Mr,MH)",,
"Weed Special Ed. School (Sld,H)",,
"Siskiyou County Day Treatment  (Sed,MH)",,
South County Preschool,,
South County Severley Handicap,,
South Siskiyou County Special Education (Cmr),,
Siskiyou County Communitively Handicapped,,
Siskiyou County Community,,
Callahan-East Fork Elementary,,
Siskiyou Charter,,(530) 842-3653
Delphic Community Day,,
Dunsmuir Senior Elementary,,
Summit Academy Community Day,,
Dunsmuir Joint Union High Community Day,,(530) 235-4835
Dunsmuir Adult,,(530) 235-4835
Etna Junior High,,
Fall Creek Elementary,,
Northern Light Charter,,
Cecilville Elementary,,
Grenada Community Day,,
Happy Camp Union Elementary School Primary Community Day,,
Happy Camp Elementary Community Day,,
Hilt Elementary,,
Fall Creek Elementary,,
Senior Elementary,,
Pondosa Elementary,,
Montague Community Day,,
Sisson,,(530) 926-3846
Headwaters Community Day,,
Challenge Home Charter,,
Options for Youth Charter - Mt. Shasta,,
Northern Light Charter,,
Seiad Elementary,,(530) 496-3308
Golden Eagle Charter,,
Jefferson High (Continuation),,(530) 926-0425
Siskiyou Adult,,(530) 926-0425
South County Community Day,,(530) 926-0425
Happy Camp Community Day,,
Fort Jones High,,
Wyeka Vista Community Day School 1-5,,
Grass Lake Elementary Defunct,,
Wyeka Vista Community Day,,
Gold Street Community Day,,
Yreka Community Day,,(530) 842-3561
Yreka Union High Alter Educ Prog,,
Yreka Union High Adult,,(530) 842-7829
Yreka Union High Community Day,,(530) 842-1659
Discovery High,,
Butte Valley Adult,,(530) 397-3363
Cascade High,,(530) 397-3363
Mahogany Community Day High,,
Picard Community Day Elementary,,(530) 398-4713
Siskiyou County ROP,,
Siskiyou County ROP,,(530) 842-6155
Scott Valley Adult,,(530) 467-5279
"Etna Academy of Arts, Sciences and Technology",,
Etna Community Day,,(530) 468-2727
Scott River High,,(530) 467-5279
Scott River Community Day,,
Scott Valley Community Day,,(530) 467-3218
Fort Jones Elementary,,(530) 468-2412
Etna Community Day,,
Fort Jones Community Day,,
Division of Unaccompanied Children's Services (DUCS),,(707) 399-4834
Shelter,,
Regional Occupational Program,,
Gomer High School,,
Juvenile Court Schools,,
Irene Larsen Center,,
Larsen Center - West,,
McDaniel (T. C.),,
Educationally Handicapped Prog,,
Community Day,,(707) 747-8300
Benicia Adult,,
Home Independent Study,,
Matthew Turner Elementary,,(707) 747-8390
Dixon Community Day,,(707) 693-6340
Dixon Montessori Charter,,(707) 678-8953
Dixon Unified Alter. Educ.,,
Dixon Adult,,
Gretchen Higgins Elementary,,(707) 678-6271
Weir Preparatory Academy,,(707) 399-3300
Mary Bird Secondary Community Day,,
Fairfield-Suisun Elementary Community Day,,(707) 420-2300
Rolling Hills Elementary,,(707) 399-5000
Cordelia Hills Elementary,,(707) 864-1905
H. Glenn Richardson,,(707) 420-2300
Matt Garcia Career and College Academy,,(707) 424-9400
Dover Bridge to Success,,
Public Safety Academy,,(707) 399-5099
Dover Bridge to Success,,
Dover Academy for International Studies,,(707) 435-3794
Mary Bird Early Childhood Education Center,,(707) 438-6384
Angelo Rodriguez High,489.0,(707) 863-7950
Weir (David A.) Elementary,,
Fairfield Elem.,,
Falls Elementary,,
Mark G. Woods Elem.,,
Mary L. Bird Primary,,
Waterman Elem.,,
Laurel Creek Elementary,,(707) 421-4291
Nelda Mundy Elementary,,(707) 863-7920
F.S.U.S.D. Community Day School,,
Travis Community Day,,(707) 437-8265
Travis Independent Study,,(707) 437-8265
Foxboro Elementary,,(707) 447-7883
Vacaville Community Day Prep,,
Alternative Cooperative Education Charter,,(707) 453-6245
Kairos Public School Vacaville Academy,,(707) 453-7234
Sierra Vista,,(707) 453-6260
Elise P. Buckingham Charter Magnet High,533.0,(707) 453-7300
Elmira Elementary,,
Monte Vista Elementary,,
Wood (Will C.) High,,
Vallejo Education Academy,,(707) 649-3909
HOPE,,
Vallejo Charter,,(707) 556-8620
Caliber: ChangeMakers Academy,,(707) 563-9827
Vallejo City Unified Alternative Education,,
Jesse M. Bethel High,447.0,(707) 556-5700
MIT Academy,,(707) 552-6482
Curry Elementary,,
Grant Elementary,,
Grant Elementary Annex,,
McKinley Elem.,,
Sierra Vista Elementary,,
Flosden Handicapped,,
Mare Island Technology Academy,,(707) 552-6482
Better Education Starts Today (BEST),,
Elementary Community Day,,
Grant Preschool,,
Dixon Montessori Charter,,
